System Time: 2025-03-04 00:22:25,678 - Event: Machine 2 initialized with clock rate: 1 ticks/second
System Time: 2025-03-04 00:22:26,686 - Event: Machine 2 accepted connection from Machine 1
System Time: 2025-03-04 00:23:02,851 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 20 | Local Clock: 124, Sender Clock: 138, New Clock: 139 (Drift: 14)
System Time: 2025-03-04 00:23:03,889 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 21 | Local Clock: 139, Sender Clock: 139, New Clock: 140 (Drift: 0)
System Time: 2025-03-04 00:23:04,923 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 21 | Local Clock: 140, Sender Clock: 150, New Clock: 151 (Drift: 10)
System Time: 2025-03-04 00:23:05,952 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 22 | Local Clock: 151, Sender Clock: 156, New Clock: 157 (Drift: 5)
System Time: 2025-03-04 00:23:06,986 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 22 | Local Clock: 157, Sender Clock: 158, New Clock: 159 (Drift: 1)
System Time: 2025-03-04 00:23:08,020 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 23 | Local Clock: 159, Sender Clock: 166, New Clock: 167 (Drift: 7)
System Time: 2025-03-04 00:23:09,054 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 22 | Local Clock: 167, Sender Clock: 168, New Clock: 169 (Drift: 1)
System Time: 2025-03-04 00:23:10,095 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 21 | Local Clock: 169, Sender Clock: 169, New Clock: 170 (Drift: 0)
System Time: 2025-03-04 00:23:11,133 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 21 | Local Clock: 170, Sender Clock: 170, New Clock: 171 (Drift: 0)
System Time: 2025-03-04 00:23:12,160 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 22 | Local Clock: 171, Sender Clock: 170, New Clock: 172 (Drift: 0)
System Time: 2025-03-04 00:23:13,192 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 25 | Local Clock: 172, Sender Clock: 174, New Clock: 175 (Drift: 2)
